OBJECTID,StationID,Direction,Volume,DateTime,ABPair,DateTimeTxt,State,Sta_Dir,DateTime2,DateTime1
527449,P0042,S,1937,2011/07/08 11:00:00+00,4579245603,7/8/2011 11:00 AM,MD,P0042_S,07/08/2011 11:00 AM,07/08/2011 11:00
527450,P0042,S,2005,2011/07/08 12:00:00+00,4579245603,7/8/2011 12:00 PM,MD,P0042_S,07/08/2011 12:00 PM,07/08/2011 12:00
527451,P0042,S,2112,2011/07/08 13:00:00+00,4579245603,7/8/2011 1:00 PM,MD,P0042_S,07/08/2011 13:00 PM,07/08/2011 13:00
527452,P0042,S,2188,2011/07/08 14:00:00+00,4579245603,7/8/2011 2:00 PM,MD,P0042_S,07/08/2011 14:00 PM,07/08/2011 14:00
527453,P0042,S,2308,2011/07/08 15:00:00+00,4579245603,7/8/2011 3:00 PM,MD,P0042_S,07/08/2011 15:00 PM,07/08/2011 15:00
527454,P0042,S,2145,2011/07/08 16:00:00+00,4579245603,7/8/2011 4:00 PM,MD,P0042_S,07/08/2011 16:00 PM,07/08/2011 16:00
527455,P0042,S,2281,2011/07/08 17:00:00+00,4579245603,7/8/2011 5:00 PM,MD,P0042_S,07/08/2011 17:00 PM,07/08/2011 17:00
527456,P0042,S,2257,2011/07/08 18:00:00+00,4579245603,7/8/2011 6:00 PM,MD,P0042_S,07/08/2011 18:00 PM,07/08/2011 18:00
527457,P0042,S,1689,2011/07/08 19:00:00+00,4579245603,7/8/2011 7:00 PM,MD,P0042_S,07/08/2011 19:00 PM,07/08/2011 19:00
527458,P0042,S,1265,2011/07/08 20:00:00+00,4579245603,7/8/2011 8:00 PM,MD,P0042_S,07/08/2011 20:00 PM,07/08/2011 20:00
527459,P0042,S,1065,2011/07/08 21:00:00+00,4579245603,7/8/2011 9:00 PM,MD,P0042_S,07/08/2011 21:00 PM,07/08/2011 21:00
527460,P0042,S,700,2011/07/08 22:00:00+00,4579245603,7/8/2011 10:00 PM,MD,P0042_S,07/08/2011 22:00 PM,07/08/2011 22:00
527461,P0042,S,478,2011/07/08 23:00:00+00,4579245603,7/8/2011 11:00 PM,MD,P0042_S,07/08/2011 23:00 PM,07/08/2011 23:00
527462,P0042,N,441,2011/06/05 00:00:00+00,4560345792,6/5/2011 0:00,MD,P0042_N,06/05/2011 00:00 AM,06/05/2011 00:00
527463,P0042,N,190,2011/06/30 00:00:00+00,4560345792,6/30/2011 0:00,MD,P0042_N,06/30/2011 00:00 AM,06/30/2011 00:00
527464,P0042,N,131,2011/06/30 01:00:00+00,4560345792,6/30/2011 1:00 AM,MD,P0042_N,06/30/2011 01:00 AM,06/30/2011 01:00
527465,P0042,N,87,2011/06/30 02:00:00+00,4560345792,6/30/2011 2:00 AM,MD,P0042_N,06/30/2011 02:00 AM,06/30/2011 02:00
527466,P0042,N,107,2011/06/30 03:00:00+00,4560345792,6/30/2011 3:00 AM,MD,P0042_N,06/30/2011 03:00 AM,06/30/2011 03:00
527467,P0042,N,221,2011/06/30 04:00:00+00,4560345792,6/30/2011 4:00 AM,MD,P0042_N,06/30/2011 04:00 AM,06/30/2011 04:00
527468,P0042,N,615,2011/06/30 05:00:00+00,4560345792,6/30/2011 5:00 AM,MD,P0042_N,06/30/2011 05:00 AM,06/30/2011 05:00
527814,P0042,N,112,2011/05/26 03:00:00+00,4560345792,5/26/2011 3:00 AM,MD,P0042_N,05/26/2011 03:00 AM,05/26/2011 03:00
527815,P0042,N,216,2011/05/26 04:00:00+00,4560345792,5/26/2011 4:00 AM,MD,P0042_N,05/26/2011 04:00 AM,05/26/2011 04:00
527816,P0042,S,714,2011/05/25 22:00:00+00,4579245603,5/25/2011 10:00 PM,MD,P0042_S,05/25/2011 22:00 PM,05/25/2011 22:00
527817,P0042,S,353,2011/05/25 23:00:00+00,4579245603,5/25/2011 11:00 PM,MD,P0042_S,05/25/2011 23:00 PM,05/25/2011 23:00
527818,P0042,N,145,2011/05/25 00:00:00+00,4560345792,5/25/2011 0:00,MD,P0042_N,05/25/2011 00:00 AM,05/25/2011 00:00
527819,P0042,N,118,2011/05/25 01:00:00+00,4560345792,5/25/2011 1:00 AM,MD,P0042_N,05/25/2011 01:00 AM,05/25/2011 01:00
527820,P0042,N,78,2011/05/25 02:00:00+00,4560345792,5/25/2011 2:00 AM,MD,P0042_N,05/25/2011 02:00 AM,05/25/2011 02:00
527821,P0042,N,99,2011/05/25 03:00:00+00,4560345792,5/25/2011 3:00 AM,MD,P0042_N,05/25/2011 03:00 AM,05/25/2011 03:00
527822,P0042,N,191,2011/05/25 04:00:00+00,4560345792,5/25/2011 4:00 AM,MD,P0042_N,05/25/2011 04:00 AM,05/25/2011 04:00
527823,P0042,N,628,2011/05/25 05:00:00+00,4560345792,5/25/2011 5:00 AM,MD,P0042_N,05/25/2011 05:00 AM,05/25/2011 05:00
527824,P0042,N,1482,2011/05/25 06:00:00+00,4560345792,5/25/2011 6:00 AM,MD,P0042_N,05/25/2011 06:00 AM,05/25/2011 06:00
527825,P0042,N,1961,2011/05/25 07:00:00+00,4560345792,5/25/2011 7:00 AM,MD,P0042_N,05/25/2011 07:00 AM,05/25/2011 07:00
527826,P0042,N,1946,2011/05/25 08:00:00+00,4560345792,5/25/2011 8:00 AM,MD,P0042_N,05/25/2011 08:00 AM,05/25/2011 08:00
527827,P0042,N,1662,2011/05/25 09:00:00+00,4560345792,5/25/2011 9:00 AM,MD,P0042_N,05/25/2011 09:00 AM,05/25/2011 09:00
527828,P0042,N,1610,2011/05/25 10:00:00+00,4560345792,5/25/2011 10:00 AM,MD,P0042_N,05/25/2011 10:00 AM,05/25/2011 10:00
527829,P0042,N,1788,2011/05/25 11:00:00+00,4560345792,5/25/2011 11:00 AM,MD,P0042_N,05/25/2011 11:00 AM,05/25/2011 11:00
527830,P0042,N,1862,2011/05/25 12:00:00+00,4560345792,5/25/2011 12:00 PM,MD,P0042_N,05/25/2011 12:00 PM,05/25/2011 12:00
527831,P0042,N,1784,2011/05/25 13:00:00+00,4560345792,5/25/2011 1:00 PM,MD,P0042_N,05/25/2011 13:00 PM,05/25/2011 13:00
527832,P0042,N,1948,2011/05/25 14:00:00+00,4560345792,5/25/2011 2:00 PM,MD,P0042_N,05/25/2011 14:00 PM,05/25/2011 14:00
527833,P0042,S,545,2011/05/31 22:00:00+00,4579245603,5/31/2011 10:00 PM,MD,P0042_S,05/31/2011 22:00 PM,05/31/2011 22:00
527834,P0042,S,309,2011/05/31 23:00:00+00,4579245603,5/31/2011 11:00 PM,MD,P0042_S,05/31/2011 23:00 PM,05/31/2011 23:00
527835,P0042,N,1309,2011/04/24 20:00:00+00,4560345792,4/24/2011 8:00 PM,MD,P0042_N,04/24/2011 20:00 PM,04/24/2011 20:00
527836,P0042,N,795,2011/04/24 21:00:00+00,4560345792,4/24/2011 9:00 PM,MD,P0042_N,04/24/2011 21:00 PM,04/24/2011 21:00
527837,P0042,N,465,2011/04/24 22:00:00+00,4560345792,4/24/2011 10:00 PM,MD,P0042_N,04/24/2011 22:00 PM,04/24/2011 22:00
527838,P0042,N,255,2011/04/24 23:00:00+00,4560345792,4/24/2011 11:00 PM,MD,P0042_N,04/24/2011 23:00 PM,04/24/2011 23:00
527839,P0042,S,315,2011/04/24 00:00:00+00,4579245603,4/24/2011 0:00,MD,P0042_S,04/24/2011 00:00 AM,04/24/2011 00:00
